subject_id,label_0_low_workload_rows,label_1_high_workload_rows,total_rows,conditions_documented_in_bundle,baseline_rest_identifiable,workload_task_identifiable,temporal_order_or_start_time_present,notes
35,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
36,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
37,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
38,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
39,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
4,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
40,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
41,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
42,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
43,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
44,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
45,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
46,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
47,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
48,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
5,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
6,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
7,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
8,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
9,297,297,594,"low_workload,high_workload",False,True,False,"Subject IDs and low/high workload labels exist; no explicit baseline/rest labels, window start times, trial IDs, or condition-order metadata."
