subject_id,condition,label,condition_mapping,filename,relative_path,num_channels,channel_names,sampling_frequency_hz,sample_count,duration_sec,expected_duration_sec,duration_matches_expected,raw_header_highpass_hz,raw_header_lowpass_hz,reference_metadata,file_sha256,expected_4s_50pct_windows_from_header
Subject05,rest,0,_1_rest_background,Subject05_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject05_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",844f7c4c0868f64003f50d02ecd9db3a7e60cd51df66f9ad2a460e279001eaf8,90
Subject05,arithmetic,1,_2_mental_arithmetic,Subject05_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject05_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",651a9f1cbe3e85605ef6a8e3c13c8d8d130e1c41bb8ac23ac3c2fa9ab63665f7,30
Subject06,rest,0,_1_rest_background,Subject06_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject06_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",cd5697ace53d4a824b7a89846a0a2e2ca40ec7ee661488551d44d6f2a301b5c1,90
Subject06,arithmetic,1,_2_mental_arithmetic,Subject06_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject06_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",206452b3d030ba9f04b43f2747bcd24ecd0466e7abe27676ad054428286cf24d,30
Subject07,rest,0,_1_rest_background,Subject07_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject07_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",3991d7b4667065de53f80e5b40b69cee5c819f62c7352dca3b06ca5333fd1308,90
Subject07,arithmetic,1,_2_mental_arithmetic,Subject07_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject07_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",f8381e8f22a118f772e316bfb4c87f2a41581d9590a7c58f3b8c95c62a1789f1,30
Subject08,rest,0,_1_rest_background,Subject08_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject08_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",02acf02d25d333fd9bc38b9b513b9f72072d5bd36b6ffa5a9a5be6f54fd9b853,90
Subject08,arithmetic,1,_2_mental_arithmetic,Subject08_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject08_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",461c2f9c95b5d1128e32bd1272e44b3d5366493f57d88092278b440a7b30d0df,30
Subject09,rest,0,_1_rest_background,Subject09_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject09_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",68f2c002f30831ead8fc9418a24fe044419f430686beec62ddb46ab2c731036a,90
Subject09,arithmetic,1,_2_mental_arithmetic,Subject09_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject09_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",05d4449075a6e62d61737a939cf142b27f84b60a9bdad788fd87a9fc9737b3b9,30
Subject10,rest,0,_1_rest_background,Subject10_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject10_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,94000,188.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",25a392a6816c74da10539694e51210030742ced96379761afe02aa05f60bfcc8,93
Subject10,arithmetic,1,_2_mental_arithmetic,Subject10_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject10_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",aa76531d0a6f72ebc163014383a42fdd7252ea310559d270943922607e51a13a,30
Subject11,rest,0,_1_rest_background,Subject11_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject11_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",8c85e9c32acbb18145bbc29126c19239beeba53c136d3014de285d5d359df9ac,90
Subject11,arithmetic,1,_2_mental_arithmetic,Subject11_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject11_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",df36afd690987a373f0de02b91059760e155a7bf49732d05b7cce42bbe4de354,30
Subject12,rest,0,_1_rest_background,Subject12_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject12_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",e3e6985558b94bdbec4ec93745b353dbd090b3e160bc9e97546ea9b5e416c37d,90
Subject12,arithmetic,1,_2_mental_arithmetic,Subject12_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject12_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",984c866e886a4c17f0f9196cc0ec072a3b492ef7af92d4dea48a451a433cfd13,30
Subject13,rest,0,_1_rest_background,Subject13_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject13_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",226fc6946d5b2181f4a219530b7eb642561d3acd8257a224d14c6aecd50e92bb,90
Subject13,arithmetic,1,_2_mental_arithmetic,Subject13_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject13_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",12cb297ce1c1506d07418353900bcea3472b5c8bdb26d73db3c25c07d752ae71,30
Subject14,rest,0,_1_rest_background,Subject14_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject14_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",e9b5d97eb5dd4778dfb6e279f3e03b27cf4ad5881641f2eaabedeaf2b0475ee5,90
Subject14,arithmetic,1,_2_mental_arithmetic,Subject14_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject14_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",4c0c71fc2f7962efea32593eeadeb96c38c44db6a203e9a6353662cd8b941544,30
Subject15,rest,0,_1_rest_background,Subject15_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject15_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",3bfa5357e3cf6bb849f0e950be34f14ee10f90348a1d1246c863936ce923e07c,90
Subject15,arithmetic,1,_2_mental_arithmetic,Subject15_2.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject15_2.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,31000,62.0,60.0,False,0.0,250.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.0, ""lowpass_hz"": 250.0}",b107158d3d23fe53559712db1a13416391dd963038b1c73918de7483343393ad,30
Subject16,rest,0,_1_rest_background,Subject16_1.edf,data/raw/eegmat/eeg-during-mental-arithmetic-tasks-1.0.0/Subject16_1.edf,21,"[""EEG Fp1"", ""EEG Fp2"", ""EEG F3"", ""EEG F4"", ""EEG F7"", ""EEG F8"", ""EEG T3"", ""EEG T4"", ""EEG C3"", ""EEG C4"", ""EEG T5"", ""EEG T6"", ""EEG P3"", ""EEG P4"", ""EEG O1"", ""EEG O2"", ""EEG Fz"", ""EEG Cz"", ""EEG Pz"", ""EEG A2-A1"", ""ECG ECG""]",500.0,91000,182.0,180.0,False,0.5,45.0,"{""custom_ref_applied"": 0, ""description"": null, ""highpass_hz"": 0.5, ""lowpass_hz"": 45.0}",2e59fdf714c36f6c1520f5011aba46dca543e0561e98c3ca509dfe6112709130,90
